genomeSize	err_rate	QV	gsize	N50	ctgn	L50
3045000	0.260	36.4978	4683389	4671516	3	1
3050000	0.228	36.5917	4669445	4657572	3	1
3050000	0.230	36.5924	4669473	4657600	3	1
3050000	0.232	36.5912	4669464	4657591	3	1
3050000	0.234	36.5931	4669466	4657593	3	1
3050000	0.236	36.5981	4669469	4657596	3	1
3050000	0.240	36.5978	4669481	4657608	3	1
3050000	0.238	36.5917	4669480	4657607	3	1
3050000	0.242	36.6097	4669463	4657590	3	1
3050000	0.244	36.609	4669473	4657600	3	1
3050000	0.246	36.6069	4669479	4657606	3	1
3050000	0.248	36.5993	4669486	4657613	3	1
3050000	0.252	36.6121	4669490	4657617	3	1
3050000	0.250	36.6047	4669490	4657617	3	1
3055000	0.220	36.565	4669423	4657550	3	1
3050000	0.254	36.6145	4669491	4657618	3	1
3055000	0.224	36.594	4669459	4657586	3	1
3055000	0.222	36.5779	4669420	4657547	3	1
3050000	0.258	36.4631	4683399	4671526	3	1
3050000	0.256	36.6202	4669497	4657624	3	1
3055000	0.226	36.5832	4669449	4657576	3	1
3055000	0.228	36.5874	4669443	4657570	3	1
3055000	0.230	36.5884	4669472	4657599	3	1
3050000	0.260	36.4983	4683390	4671517	3	1
3055000	0.232	36.5898	4669462	4657589	3	1
3055000	0.236	36.5988	4669471	4657598	3	1
3055000	0.234	36.5917	4669466	4657593	3	1
3055000	0.240	36.5986	4669482	4657609	3	1
3055000	0.238	36.5924	4669481	4657608	3	1
3055000	0.242	36.6104	4669466	4657593	3	1
3055000	0.244	36.6097	4669476	4657603	3	1
3055000	0.246	36.6085	4669479	4657606	3	1
3055000	0.248	36.6014	4669486	4657613	3	1
3055000	0.254	36.6166	4669491	4657618	3	1
3055000	0.250	36.6069	4669489	4657616	3	1
3055000	0.252	36.6142	4669489	4657616	3	1
3055000	0.256	36.6223	4669497	4657624	3	1
3055000	0.258	36.4652	4683400	4671527	3	1
3055000	0.260	36.5004	4683390	4671517	3	1
3060000	0.222	36.5784	4669422	4657549	3	1
3060000	0.224	36.5938	4669462	4657589	3	1
3060000	0.226	36.5832	4669451	4657578	3	1
3060000	0.228	36.5874	4669447	4657574	3	1
3060000	0.232	36.5877	4669466	4657593	3	1
3060000	0.234	36.5903	4669466	4657593	3	1
3060000	0.236	36.5957	4669474	4657601	3	1
3060000	0.238	36.5896	4669485	4657612	3	1
3060000	0.244	36.6071	4669478	4657605	3	1
3060000	0.242	36.6078	4669470	4657597	3	1
3060000	0.246	36.6066	4669480	4657607	3	1
3060000	0.248	36.5995	4669488	4657615	3	1
3060000	0.252	36.6138	4669494	4657621	3	1
3065000	0.220	36.5657	4669429	4657556	3	1
3065000	0.222	36.577	4669422	4657549	3	1
3060000	0.254	36.6161	4669495	4657622	3	1
3060000	0.256	36.6204	4669502	4657629	3	1
3065000	0.224	36.5924	4669461	4657588	3	1
3065000	0.226	36.5817	4669450	4657577	3	1
3060000	0.258	36.4631	4683406	4671533	3	1
3065000	0.228	36.5869	4669445	4657572	3	1
3065000	0.230	36.5879	4669473	4657600	3	1
3065000	0.232	36.5907	4669468	4657595	3	1
3065000	0.234	36.5933	4669467	4657594	3	1
3065000	0.236	36.5988	4669474	4657601	3	1
3065000	0.240	36.5988	4669483	4657610	3	1
3065000	0.238	36.5926	4669484	4657611	3	1
3065000	0.242	36.6097	4669472	4657599	3	1
